label,,,1,2,3,4,5,6,7,8,9,,10,11,12,13,14,15,16,17,18,,19,20,21,22,23,24,25,26,27,,28,29,30,31,32,33,34,35,36
Wed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Opening Session (Duncan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PA,PB,PC,PD,PE,PF,PG,PH,P7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PI,PJ,PK,PL,PM,PN,PO,PP,P8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PQ,PR,PS,PT,PU,PV,PW,PX,P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PY,PZ,P1,P2,P3,P4,P5,P6,P0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6:30,,What is Applied Rationality? (Duncan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6:40,,Boggle (Anna),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6:46,,Try Things (Dan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6:52,,Adjust Your Seat (Eli),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6:58,,Be Present (Lauren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7:07,,Build Form (Duncan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7:13,,Calibration Game (Duncan → Ben),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7:23,,Flex time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7:30,,"Get settled, introduce group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7:35,,Building a Bugs List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7:45,,What was that like for you?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7:50,,Rejoin group for debrief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:00 PM,,,Break (10m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:10 PM,,,Seeking PCK (Duncan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PA,PB,PC,PD,PE,PF,PG,PH,P7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PI,PJ,PK,PL,PM,PN,PO,PP,P8,,,Upstairs room becomes social games room,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PQ,PR,PS,PT,PU,PV,PW,PX,P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PY,PZ,P1,P2,P3,P4,P5,P6,P0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:00 AM,,,Units of Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Understudy: Eric Rogstad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PA,PB,PC,PD,PE,PF,PG,PH,P7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PI,PJ,PK,PL,PM,PN,PO,PP,P8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PQ,PR,PS,PT,PU,PV,PW,PX,P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PY,PZ,P1,P2,P3,P4,P5,P6,P0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:40 AM,,,Break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00 AM,,,Trigger-Action Planning (Duncan),,,,,,,,,,Inner Simulator (Dan),,,,,,,,,,Factoring (Tsvi),,,,,,,,,,,,,,,,,,
,,,Understudy: Eric Rogstad,,,,,,,,,,Understudy: Qiaochu Yuan,,,,,,,,,,Understudy: Lauren Lee,,,,,,,,,,,,,,,,,,
,,,PA,PB,PC,PD,PQ,PR,PS,PT,P9,,PE,PF,PG,PH,PU,PV,PW,PX,P7,,PM,PN,PO,PP,P3,P4,P5,P6,P8,,,,,,,,,,
,,,PL,PY,PZ,,,,,,,,PI,PJ,PK,,,,,,,,P1,P2,P0,,,,,,,,,,,,,,,,
11:00 AM,,,Break,,,,,,,,,,Break,,,,,,,,,,Break,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:20 AM,,,Trigger-Action Planning (Duncan),,,,,,,,,,Inner Simulator (Dan),,,,,,,,,,Factoring (Tsvi),,,,,,,,,,,,,,,,,,
